"sex","age","socprof","income","marital","depress","sport","nofriend","smoke","nociga","alcabuse","bmi"
"FEMALE",45,"EMPLOYED IN PUBLIC SECTOR",1500,"SINGLE",5,"YES",3,"NO",NA,"NO",26.1224489795918
"MALE",65,"OTHER ECONOMICALLY INACTIVE",500,"SINGLE",5,"YES",30,"NO",NA,"NO",29.320987654321
"FEMALE",17,"PUPIL OR STUDENT",NA,"SINGLE",3,"NO",7,"NO",NA,"NO",22.4058769513315
"FEMALE",48,"EMPLOYED IN PRIVATE SECTOR",1000,"MARRIED",0,"NO",10,"NO",NA,"NO",25.8166302126286
"MALE",50,"EMPLOYED IN PRIVATE SECTOR",1300,"MARRIED",0,"NO",12,"YES",20,"YES",27.170631566236
"FEMALE",65,"RETIRED",1200,"WIDOWED",6,"NO",15,"NO",NA,"NO",27.5133848899465
"FEMALE",78,"RETIRED",1000,"WIDOWED",12,"YES",20,"NO",NA,"NO",24.7767952496903
"FEMALE",53,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",8,"YES",2,"NO",NA,"NO",28.7317468902109
"MALE",29,"UNEMPLOYED",-8,"SINGLE",2,"YES",3,"YES",10,"NO",29.757785467128
"FEMALE",76,"RETIRED",1500,"MARRIED",14,"YES",5,"NO",NA,"NO",30.4878048780488
"MALE",56,"FARMER",1000,"MARRIED",3,"NO",10,"NO",NA,"NO",31.6734693877551
"MALE",72,"RETIRED",710,"MARRIED",8,"YES",10,"NO",NA,"NO",26.7538644470868
"FEMALE",39,"EMPLOYED IN PUBLIC SECTOR",900,"MARRIED",0,"NO",7,"NO",NA,"NO",32.4499729583559
"FEMALE",60,"RETIRED",3000,"WIDOWED",2,"YES",10,"YES",20,"NO",32.8719723183391
"FEMALE",51,"EMPLOYED IN PRIVATE SECTOR",1200,"MARRIED",4,"YES",2,"NO",NA,"NO",26.6193433895297
"MALE",30,"SELF-EMPLOYED",1600,"SINGLE",0,"YES",7,"YES",10,"NO",27.4405991735537
"MALE",55,"UNEMPLOYED",NA,"MARRIED",4,"NO",10,"NO",NA,"YES",26.218820861678
"FEMALE",75,"OTHER ECONOMICALLY INACTIVE",1400,"MARRIED",1,"YES",2,"NO",NA,"NO",25.5296448712087
"MALE",47,"UNEMPLOYED",530,"WIDOWED",9,"YES",3,"YES",25,"YES",28.075042938301
"FEMALE",64,NA,1270,"WIDOWED",10,"YES",0,"NO",NA,"NO",21.8299521999323
"MALE",41,"UNEMPLOYED",NA,"DIVORCED",5,"YES",0,"YES",20,"NO",24.8981439565414
"MALE",17,"PUPIL OR STUDENT",-8,"SINGLE",2,"NO",5,"NO",NA,"YES",19.1307009488828
"MALE",33,"EMPLOYED IN PRIVATE SECTOR",6000,"MARRIED",0,"NO",3,"NO",NA,"NO",24.6913580246914
"MALE",58,"LONG-TERM SICK/DISABLED",1700,"MARRIED",18,"YES",2,"YES",10,"NO",20.679012345679
"MALE",64,"RETIRED",940,"MARRIED",7,"NO",6,"NO",NA,"NO",31.6734693877551
"FEMALE",47,"EMPLOYED IN PUBLIC SECTOR",2400,"DIVORCED",6,"YES",7,"NO",NA,"NO",20.619253650622
"MALE",76,"RETIRED",800,"DE FACTO SEPARATED",8,"YES",2,"NO",NA,"NO",23.4375
"FEMALE",41,"EMPLOYED IN PRIVATE SECTOR",1500,"MARRIED",6,"YES",1,"NO",NA,"NO",23.2334561768947
"FEMALE",26,"OTHER ECONOMICALLY INACTIVE",6000,"SINGLE",0,"NO",30,"NO",NA,"NO",22.4058769513315
"FEMALE",62,"RETIRED",1040,"WIDOWED",3,"YES",2,"YES",20,"NO",25.9259259259259
"FEMALE",33,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",0,"YES",6,"YES",29,"NO",26.8923231381548
"MALE",47,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",10,"YES",2,"NO",NA,"YES",33.2408370909932
"MALE",61,"EMPLOYED IN PRIVATE SECTOR",1500,"DIVORCED",2,"NO",4,"NO",NA,"NO",25.7116620752984
"FEMALE",63,"RETIRED",1204,"MARRIED",15,"YES",4,"YES",10,"NO",25.469387755102
"MALE",50,"FARMER",2000,"MARRIED",0,"YES",20,"YES",40,"YES",27.968016063681
"MALE",64,"RETIRED",1800,"MARRIED",5,"NO",10,"YES",20,"YES",28.3737024221453
"MALE",37,"EMPLOYED IN PUBLIC SECTOR",2850,"SINGLE",3,"YES",6,"YES",20,"YES",29.0123456790123
"MALE",48,"LONG-TERM SICK/DISABLED",780,"SINGLE",5,"YES",0,"YES",10,"NO",30.4705215419501
"MALE",25,"EMPLOYED IN PRIVATE SECTOR",980,"SINGLE",1,"NO",3,"NO",NA,"NO",26.8274207802045
"FEMALE",65,"RETIRED",NA,"MARRIED",5,"YES",3,"YES",10,"NO",26.1286108288576
"FEMALE",18,"PUPIL OR STUDENT",NA,"SINGLE",3,"NO",1,"NO",NA,"NO",NA
"MALE",54,"UNEMPLOYED",300,"MARRIED",8,"YES",4,"YES",20,"YES",25.6611520347784
"MALE",31,"PUPIL OR STUDENT",2500,"DIVORCED",4,"NO",10,"NO",NA,"NO",26.2878071833648
"FEMALE",78,"RETIRED",800,"MARRIED",12,"YES",2,"NO",NA,"NO",31.5555555555556
"MALE",63,"RETIRED",3100,"MARRIED",4,"YES",5,"NO",NA,"NO",32.5963718820862
"MALE",40,"LONG-TERM SICK/DISABLED",630,"SINGLE",1,"YES",5,"NO",NA,"NO",25.7731958762887
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",2,"NO",NA,"NO",30.4218496484586
"FEMALE",53,"EMPLOYED IN PRIVATE SECTOR",2000,"DIVORCED",1,"YES",5,"YES",10,"NO",27.681660899654
"MALE",34,"SELF-EMPLOYED",1500,"MARRIED",0,"NO",10,"NO",NA,"NO",24.9680097375238
"FEMALE",74,"RETIRED",697,"WIDOWED",10,"YES",15,"YES",10,"NO",26.218820861678
"MALE",48,"EMPLOYED IN PRIVATE SECTOR",3500,"MARRIED",2,"YES",6,"NO",NA,"NO",30.7394166193324
"FEMALE",29,"EMPLOYED IN PUBLIC SECTOR",1500,"SINGLE",0,"YES",10,"NO",NA,"NO",22.189349112426
"MALE",56,"SELF-EMPLOYED",-8,"DIVORCED",5,"NO",25,"YES",40,"NO",22.9853975121687
"MALE",47,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",0,"NO",3,"NO",NA,"NO",30.1895906291511
"FEMALE",44,"EMPLOYED IN PUBLIC SECTOR",2000,"MARRIED",5,"YES",3,"NO",NA,"NO",27.8851873884593
"FEMALE",47,"EMPLOYED IN PUBLIC SECTOR",2400,"MARRIED",2,"YES",2,"YES",7,"NO",28.5779606767261
"MALE",83,"RETIRED",1500,"MARRIED",10,"YES",4,"YES",16,"NO",36.6782006920415
"FEMALE",74,"RETIRED",1404,"MARRIED",6,"YES",10,"NO",NA,"NO",28.8415318058003
"MALE",49,"SELF-EMPLOYED",2200,"MARRIED",4,"YES",5,"YES",15,"NO",28.4055043555107
"MALE",34,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",NA,"NO",53,"NO",NA,"NO",NA
"FEMALE",26,"EMPLOYED IN PRIVATE SECTOR",1500,"SINGLE",0,"NO",5,"NO",NA,"YES",26.6666666666667
"FEMALE",34,"EMPLOYED IN PRIVATE SECTOR",2800,"MARRIED",0,"NO",10,"NO",NA,"NO",22.77318640955
"FEMALE",63,"RETIRED",1000,"WIDOWED",1,"YES",4,"NO",NA,"NO",27.8851873884593
"FEMALE",50,"PUPIL OR STUDENT",3000,"SINGLE",4,"YES",4,"YES",10,"NO",22.0317256849864
"MALE",50,"FARMER",2000,"MARRIED",3,"NO",10,"NO",NA,"NO",24.4897959183673
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",5,"NO",NA,"NO",18.0697278911565
"FEMALE",31,"SELF-EMPLOYED",2000,"SINGLE",0,"YES",4,"YES",-8,"NO",21.484375
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",0,"YES",5,"NO",NA,"NO",22.0580511886839
"MALE",35,"SELF-EMPLOYED",3000,"MARRIED",0,"NO",6,"NO",NA,"NO",29.320987654321
"FEMALE",33,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",3,"NO",6,"NO",NA,"NO",26.8923231381548
"FEMALE",78,"RETIRED",1000,"MARRIED",8,"YES",10,"NO",NA,"NO",23.5883292204964
"FEMALE",41,"EMPLOYED IN PUBLIC SECTOR",2000,"DIVORCED",7,"YES",3,"YES",5,"NO",29.296875
"MALE",51,"FARMER",1500,"MARRIED",2,"YES",10,"YES",20,"YES",33.802055164954
"MALE",39,"EMPLOYED IN PRIVATE SECTOR",1500,"MARRIED",4,"NO",4,"NO",NA,"NO",27.4405991735537
"FEMALE",61,"RETIRED",1600,"MARRIED",0,"YES",4,"NO",NA,"NO",28.7639710716634
"MALE",58,"FARMER",1000,"MARRIED",4,"YES",2,"NO",NA,"NO",27.4285714285714
"FEMALE",38,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",2,"YES",3,"NO",NA,"NO",17.6308539944904
"MALE",36,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",1,"NO",0,"NO",NA,"NO",26.8518518518519
"FEMALE",45,"EMPLOYED IN PRIVATE SECTOR",1200,"MARRIED",3,"YES",6,"NO",NA,"NO",27.5482093663912
"FEMALE",88,"LONG-TERM SICK/DISABLED",1050,"WIDOWED",8,"YES",5,"NO",NA,"NO",22.77318640955
"FEMALE",55,"EMPLOYED IN PUBLIC SECTOR",1800,"MARRIED",1,"NO",10,"NO",NA,"NO",23.828125
"FEMALE",49,"EMPLOYED IN PUBLIC SECTOR",2500,"MARRIED",2,"YES",12,"YES",7,"NO",22.4765868886576
"FEMALE",82,"RETIRED",1150,"WIDOWED",18,"YES",5,"NO",NA,"NO",25.0573602221954
"FEMALE",89,"RETIRED",2200,"MARRIED",12,"NO",10,"NO",NA,"NO",23.8330046022354
"MALE",62,"LONG-TERM SICK/DISABLED",750,"MARRIED",6,"YES",6,"NO",NA,"NO",28.3059950645957
"FEMALE",29,"EMPLOYED IN PUBLIC SECTOR",-8,"SINGLE",0,"YES",0,"NO",NA,"YES",21.0076677987465
"FEMALE",19,"PUPIL OR STUDENT",300,"SINGLE",2,"YES",3,"NO",NA,"NO",18.2898948331047
"MALE",30,"EMPLOYED IN PRIVATE SECTOR",2500,"SINGLE",0,"YES",5,"YES",10,"NO",31.6373966942149
"MALE",38,"EMPLOYED IN PRIVATE SECTOR",1200,"MARRIED",0,"YES",5,"NO",NA,"NO",29.7004132231405
"FEMALE",81,"LONG-TERM SICK/DISABLED",1400,"WIDOWED",12,"YES",4,"NO",NA,"NO",25.148605395519
"MALE",17,"PUPIL OR STUDENT",-8,"SINGLE",0,"NO",8,"NO",NA,"NO",20.3125
"MALE",23,"EMPLOYED IN PRIVATE SECTOR",1550,"SINGLE",6,"YES",3,"NO",NA,"NO",20.6541421457673
"FEMALE",29,"EMPLOYED IN PRIVATE SECTOR",1200,"SINGLE",2,"YES",3,"NO",NA,"NO",24.8015873015873
"FEMALE",57,"OTHER ECONOMICALLY INACTIVE",4200,"MARRIED",0,"NO",10,"NO",NA,"NO",27.2392244832559
"FEMALE",29,"PUPIL OR STUDENT",1300,"SINGLE",0,"YES",6,"NO",NA,"NO",21.6049382716049
"FEMALE",30,"UNEMPLOYED",510,"SINGLE",6,"NO",10,"NO",NA,"NO",28.5779606767261
"FEMALE",20,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",3,"NO",NA,"NO",19.4674012855831
"FEMALE",59,"LONG-TERM SICK/DISABLED",476,"SINGLE",14,"NO",2,"NO",NA,"NO",24.65483234714
"FEMALE",22,"UNEMPLOYED",NA,"SINGLE",0,"YES",4,"NO",NA,"NO",19.4771468144044
"FEMALE",18,"PUPIL OR STUDENT",NA,"SINGLE",4,"NO",8,"YES",5,"NO",29.4117647058824
"FEMALE",25,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",3,"NO",6,"NO",NA,"NO",20.5498866213152
"MALE",22,"PUPIL OR STUDENT",616,"SINGLE",0,"NO",3,"NO",NA,"NO",20.9876543209877
"MALE",21,"PUPIL OR STUDENT",400,"SINGLE",1,"NO",3,"NO",NA,"NO",20.9876543209877
"FEMALE",31,"EMPLOYED IN PUBLIC SECTOR",2200,"MARRIED",1,"NO",10,"NO",NA,"NO",24.3865264441396
"FEMALE",74,"RETIRED",700,"MARRIED",10,"YES",7,"NO",NA,"NO",21.484375
"MALE",51,"OTHER ECONOMICALLY INACTIVE",3000,"LEGALLY SEPARATED",4,"YES",6,"NO",NA,"NO",34.6809353943718
"FEMALE",24,"OTHER ECONOMICALLY INACTIVE",NA,"SINGLE",1,"NO",1,"NO",NA,"NO",15.98750743605
"FEMALE",18,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",2,"NO",NA,"NO",23.1206235962479
"MALE",63,"RETIRED",1170,"MARRIED",9,"YES",9,"NO",NA,"NO",24.6181037747759
"FEMALE",62,"RETIRED",1300,"MARRIED",2,"NO",15,"NO",NA,"NO",22.3214285714286
"FEMALE",40,"EMPLOYED IN PRIVATE SECTOR",1200,"DE FACTO SEPARATED",0,"YES",4,"YES",1,"NO",22.038567493113
"FEMALE",31,"UNEMPLOYED",NA,"SINGLE",0,"YES",2,"NO",NA,"NO",23.8330046022354
"FEMALE",40,"OTHER ECONOMICALLY INACTIVE",600,"MARRIED",0,"YES",15,"NO",NA,"NO",30.1102788964583
"FEMALE",28,"UNEMPLOYED",2800,"SINGLE",2,"YES",10,"NO",NA,"NO",21.5138585105239
"FEMALE",40,"UNEMPLOYED",600,"MARRIED",13,"YES",3,"NO",NA,"NO",18.724173553719
"MALE",61,"RETIRED",1700,"MARRIED",4,"YES",3,"NO",NA,"NO",27.681660899654
"MALE",18,"OTHER ECONOMICALLY INACTIVE",NA,"SINGLE",2,"NO",40,"YES",15,"NO",24.2214532871972
"MALE",45,"EMPLOYED IN PRIVATE SECTOR",1800,"SINGLE",3,"YES",5,"YES",10,"NO",27.7176852352623
"MALE",52,"UNEMPLOYED",-8,"MARRIED",2,"NO",8,"YES",20,"NO",23.3886865581877
"FEMALE",38,"EMPLOYED IN PUBLIC SECTOR",2500,"MARRIED",6,"NO",2,"NO",NA,"NO",29.4117647058824
"FEMALE",81,"RETIRED",1700,"MARRIED",16,"YES",8,"YES",10,"NO",19.0311418685121
"MALE",26,"EMPLOYED IN PRIVATE SECTOR",1600,"SINGLE",0,"YES",2,"NO",NA,"NO",29.454659841574
"FEMALE",60,"RETIRED",700,"MARRIED",6,"YES",2,"NO",NA,"NO",22.189349112426
"FEMALE",74,"FARMER",NA,"MARRIED",10,"YES",7,"NO",NA,"NO",27.34375
"MALE",50,"FARMER",NA,"MARRIED",7,"YES",10,"YES",15,"NO",28.378215191402
"MALE",76,"LONG-TERM SICK/DISABLED",-8,"MARRIED",2,"YES",0,"NO",NA,"NO",22.3081499107674
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",5,"NO",NA,"NO",30.2469135802469
"FEMALE",40,"UNEMPLOYED",800,"SINGLE",0,"YES",4,"YES",15,"NO",35.2617079889807
"FEMALE",53,"EMPLOYED IN PUBLIC SECTOR",1800,"MARRIED",8,"YES",0,"NO",NA,"NO",30.8630358688697
"FEMALE",35,"EMPLOYED IN PRIVATE SECTOR",2200,"MARRIED",1,"NO",5,"NO",NA,"NO",21.7738423573813
"MALE",51,"FARMER",1000,"MARRIED",7,"YES",4,"NO",NA,"NO",26.8274207802045
"FEMALE",39,"EMPLOYED IN PUBLIC SECTOR",1350,"WIDOWED",6,"YES",3,"NO",NA,"NO",36.5126374295103
"MALE",63,"RETIRED",4100,"MARRIED",6,"YES",12,"YES",40,"NO",27.681660899654
"FEMALE",46,"LONG-TERM SICK/DISABLED",2100,"MARRIED",5,"YES",4,"NO",NA,"NO",20.0773349196907
"MALE",97,"RETIRED",2450,"SINGLE",4,"NO",5,"NO",NA,"NO",20.7612456747405
"FEMALE",61,"LONG-TERM SICK/DISABLED",450,"MARRIED",11,"YES",7,"NO",NA,"NO",29.6875
"MALE",18,"PUPIL OR STUDENT",1000,"SINGLE",2,"NO",10,"NO",NA,"NO",22.3081499107674
"MALE",57,"LONG-TERM SICK/DISABLED",700,"MARRIED",3,"YES",6,"NO",NA,"NO",30.8248299319728
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",1,"NO",4,"NO",NA,"NO",42.608256533266
"MALE",66,"RETIRED",-8,"MARRIED",1,"NO",3,"NO",NA,"NO",29.9835879308168
